Localisation (adresse);Nombre d'arceaux;Type d'attache;Observations;Commune;Année;Type;Nombre d'arceaux supplémentaires;geo_shape;geo_point_2d
13 Bd Clémenceau;15;Scellés et/ou boulonnés;(scellés 11) et (boulonnés 4);Dijon;2023;Existant;;"{""coordinates"": [5.048409387158691, 47.327805452529255], ""type"": ""Point""}";47.327805452529255, 5.048409387158691
1 AV Champollion;5;Scellés et/ou boulonnés;(scellés 3) et (boulonnés 2);Dijon;2023;Existant;;"{""coordinates"": [5.061279369116033, 47.33628235308986], ""type"": ""Point""}";47.33628235308986, 5.061279369116033
place Jean Macé;12;Scellés et/ou boulonnés;(scellés 8) et (boulonnés 4 );Dijon;2023;Existant;;"{""coordinates"": [5.039081459089058, 47.32006274689139], ""type"": ""Point""}";47.32006274689139, 5.039081459089058
18 rue Nicole Reine Lepaute;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.038974967377356, 47.32983368590252], ""type"": ""Point""}";47.32983368590252, 5.038974967377356
2 place Barbe;5;Boulonnés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.038722839422297, 47.32894652417633], ""type"": ""Point""}";47.32894652417633, 5.038722839422297
86 AV Victor Hugo;3;Scellés;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.022408833767652, 47.33080642667368], ""type"": ""Point""}";47.33080642667368, 5.022408833767652
rue du 5ème Régiment des Tirailleurs Marocains;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.025066667035504, 47.306644999891255], ""type"": ""Point""}";47.306644999891255, 5.025066667035504
;6;;;Quetigny;;Existant;;"{""coordinates"": [5.107622837403199, 47.31627122834991], ""type"": ""Point""}";47.31627122834991, 5.107622837403199
;3;;un pince vélo - 6 vélos;Quetigny;;Existant;;"{""coordinates"": [5.108275956277136, 47.31601592359037], ""type"": ""Point""}";47.31601592359037, 5.108275956277136
;1;;;Quetigny;2019;Existant;;"{""coordinates"": [5.116562738362722, 47.31233237216431], ""type"": ""Point""}";47.31233237216431, 5.116562738362722
;3;;un repose guidon - 7 vélos;Quetigny;2019;Existant;;"{""coordinates"": [5.117163901754214, 47.3122375150431], ""type"": ""Point""}";47.3122375150431, 5.117163901754214
AV Jean Baptiste Greuse entrée parc colombière;8;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.040908333069489, 47.29909999981796], ""type"": ""Point""}";47.29909999981796, 5.040908333069489
Faculté;12;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.068609999832033, 47.313683333311296], ""type"": ""Point""}";47.313683333311296, 5.068609999832033
